"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,15,12,1,0.760176241311086,-0.122884261861669,1.64323676158366
1,1,1,15,12,2,0.89807532380537,-0.406526058635581,2.20267673150879
1,1,1,15,12,3,0.247318789967803,-0.681864376785648,1.17650197332863
1,1,1,15,12,4,1.53638650145358,0.80347350768405,2.26929950941522
1,1,1,15,12,5,1.38642842914441,0.432543031832361,2.34031384492755
1,1,1,15,12,6,0.756360519014437,-0.396364006854417,1.90908506720534
1,1,1,15,12,7,0.176199424656023,-0.955703207708402,1.30810207893877
1,1,1,15,12,8,0.868417067802377,-0.374067631789834,2.11090179112857
1,1,1,15,12,9,0.616707744322495,-0.736348809197661,1.9697643240438
1,1,1,15,12,10,0.233471549839076,-1.02157204654045,1.48851517052185
2,1,1,15,12,1,2.26939133822436,1.1835682582402,3.35521443923505
2,1,1,15,12,2,2.1775922585032,0.993260609459447,3.36192393048081
2,1,1,15,12,3,1.34480497834878,0.187734137701075,2.50187584140227
2,1,1,15,12,4,1.47450639595388,0.631383154237978,2.31762965399615
2,1,1,15,12,5,1.07970208897463,-0.218900260619209,2.37830446371497
2,1,1,15,12,6,1.93932923797142,0.71682168284186,3.16183681677391
2,1,1,15,12,7,2.5461574726426,1.4699396220571,3.62237534406813
2,1,1,15,12,8,1.87659941193171,0.795703663104913,2.9574951816892
2,1,1,15,12,9,2.58277599824193,1.45160854688389,3.71394347150412
2,1,1,15,12,10,1.279182381415,0.136185019429077,2.42217976553404
3,1,1,15,12,1,3.02801660921504,2.32003154019499,3.73600169194471
3,1,1,15,12,2,3.55311284828813,2.23406113408993,4.87216458802015
3,1,1,15,12,3,2.2759842228038,1.29389609354588,3.25807237107908
3,1,1,15,12,4,2.87147272729131,1.75519879454035,3.98774668165809
3,1,1,15,12,5,2.94453231554012,1.95553331234013,3.9335313378914
3,1,1,15,12,6,3.44998454122781,2.34713550507208,4.55283359873913
3,1,1,15,12,7,2.92696860624187,1.70305016546275,4.15088707072167
3,1,1,15,12,8,3.23023984195563,2.36885558582852,4.09162411476276
3,1,1,15,12,9,2.9488137049867,1.9389154781367,3.95871195139273
3,1,1,15,12,10,2.46017606160999,1.42928075437362,3.4910713888085
1,10,1,15,12,1,4.75466841807411,1.59994088488354,7.90939601235363
1,10,1,15,12,2,-0.268968638453841,-3.8937204663618,3.35578325964384
1,10,1,15,12,3,1.87290185294165,-1.30450560979524,5.05030937720647
1,10,1,15,12,4,1.4487626234277,-1.14776635628228,4.04529165341737
1,10,1,15,12,5,0.905510224929964,-2.77108755050373,4.58210807155496
1,10,1,15,12,6,0.260576975521043,-3.18367936718334,3.70483338492321
