"beta","gamma2","sigma2","n_clusters","R_per_cluster","ratio","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,15,12,"2:1",1,1.33265611852593,0.429650495488109,2.23566175904987
1,1,1,15,12,"2:1",2,1.59513616281293,0.236897189337388,2.95337516258063
1,1,1,15,12,"2:1",3,0.984397734746982,-0.0436795512016247,2.01247504060367
1,1,1,15,12,"2:1",4,0.730150256796058,-0.53639252397472,1.9966930620925
1,1,1,15,12,"2:1",5,2.11106002275414,0.79647065238476,3.42564941857947
1,1,1,15,12,"2:1",6,1.16655388085939,0.43447888672924,1.89862888916552
1,1,1,15,12,"2:1",7,1.34400860523971,0.134050327525557,2.55396690638335
1,1,1,15,12,"2:1",8,1.12321149816347,-0.133757975374107,2.38018099604157
1,1,1,15,12,"2:1",9,0.463655118107166,-0.330479832187539,1.25779008377973
1,1,1,15,12,"2:1",10,1.88394248889881,0.784935977745022,2.98294902133398
1,1,1,10,18,"2:1",1,0.345058369357398,-1.05005783186005,1.74017465148249
1,1,1,10,18,"2:1",2,NA,NA,NA
1,1,1,10,18,"2:1",3,-0.198673806208658,-1.1914847698026,0.794137214961822
1,1,1,10,18,"2:1",4,2.25889754525627,1.26829023581348,3.24950491214797
1,1,1,10,18,"2:1",5,0.589644815080646,-1.08133002211317,2.26061974918132
1,1,1,10,18,"2:1",6,1.21422193832037,0.535609087520718,1.89283482913322
1,1,1,10,18,"2:1",7,1.5585939592162,0.428341701970195,2.68884628200948
1,1,1,10,18,"2:1",8,0.682975215365346,-0.904630493149086,2.27058101595121
1,1,1,10,18,"2:1",9,2.24661989549646,0.779887635063501,3.71335224099045
1,1,1,10,18,"2:1",10,1.60727961632067,0.550881646584271,2.66367764732118
1,1,1,5,38,"2:1",1,0.679479692972084,-1.66642402393455,3.02538504107182
1,1,1,5,38,"2:1",2,2.02488695486397,1.08060622961686,2.96916833680217
1,1,1,5,38,"2:1",3,1.14670322523576,0.19168196528465,2.10172514934923
1,1,1,5,38,"2:1",4,3.44725983728066,1.76199249924758,5.13252834589394
1,1,1,5,38,"2:1",5,NA,NA,NA
1,1,1,5,38,"2:1",6,1.89339183251413,-1.02224338924605,4.80902908162306
1,1,1,5,38,"2:1",7,1.80736858480942,-0.302521697685553,3.91726033424284
1,1,1,5,38,"2:1",8,1.41915210009781,-1.64846143983985,4.4867677730718
1,1,1,5,38,"2:1",9,1.59665397332509,0.755888948968768,2.43741958231476
1,1,1,5,38,"2:1",10,1.95529253913175,-0.200740496503367,4.11132707393419
1,1,1,10,16,"50:1",1,0.754370800462438,-0.853035401357248,2.36177709550131
1,1,1,10,16,"50:1",2,1.05792765938353,-0.0138099198670476,2.129665300788
1,1,1,10,16,"50:1",3,0.915031799350336,0.0593198080103559,1.77074384031633
1,1,1,10,16,"50:1",4,1.47020720950008,0.138901453975424,2.80151304223168
1,1,1,10,16,"50:1",5,1.49630141168171,-0.177689527281051,3.17029244772556
1,1,1,10,16,"50:1",6,0.440132048306604,-0.581504168712583,1.46176832457435
1,1,1,10,16,"50:1",7,0.970700183807694,-0.5504983113525,2.49189876718696
1,1,1,10,16,"50:1",8,1.16606961216339,0.0401490708044258,2.29199021881913
1,1,1,10,16,"50:1",9,2.0512966624434,0.975074383845498,3.12751900345508
1,1,1,10,16,"50:1",10,0.536086191901787,-1.26392925155293,2.33610173974705
1,1,1,5,36,"50:1",1,2.13106938270551,-0.0696920603768963,4.33183235606405
1,1,1,5,36,"50:1",2,2.01124478280718,0.172551769572304,3.84993907456117
1,1,1,5,36,"50:1",3,1.72640955179895,0.694741557876075,2.75807826307684
1,1,1,5,36,"50:1",4,1.32825826374933,-0.732179347685529,3.38869730789073
1,1,1,5,36,"50:1",5,1.22069182688392,-0.863578898562519,3.3049640016025
1,1,1,5,36,"50:1",6,0.751009790341946,-2.44594874474603,3.94797054839327
1,1,1,5,36,"50:1",7,1.20942675086904,-1.88109964535762,4.2999552960617
1,1,1,5,36,"50:1",8,0.986354097097917,-0.0543994040948949,2.02710832196843
1,1,1,5,36,"50:1",9,0.525304898341578,0.0135853911598098,1.03702476134251
1,1,1,5,36,"50:1",10,NA,NA,NA
1,1,1,10,10,"10:1",1,-0.157570458843094,-2.0565663445619,1.74142553700478
