"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,15,12,1,0.928165516303178,0.119133521561703,1.7375366600311
1,1,1,15,12,2,1.2006967292468,-0.256637555618586,2.65816479231166
1,1,1,15,12,3,0.458210771546818,-0.545323004897745,1.46222871953171
1,1,1,15,12,4,1.20549639279292,0.140813645806644,2.27033468473441
1,1,1,15,12,5,1.20900065629493,-0.0651788950594238,2.48289947056765
1,1,1,15,12,6,0.4549776345396,-0.528262935126638,1.43815873028036
1,1,1,15,12,7,1.04840415379935,0.274532675908502,1.82261371737263
1,1,1,15,12,8,1.37693463471388,0.700578253842764,2.0535930966172
1,1,1,15,12,9,0.424983327750608,-0.485036591087264,1.33541432352373
1,1,1,15,12,10,1.76740047586437,0.835394862319338,2.6996001690643
2,1,1,15,12,1,1.79787583347732,0.67654817747944,2.91942810143597
2,1,1,15,12,2,2.21048656547726,0.383922380958444,4.03709266918433
2,1,1,15,12,3,2.52512996114744,1.63014491540225,3.42053667155288
2,1,1,15,12,4,1.97527353960598,0.747148560220247,3.20364697006334
2,1,1,15,12,5,2.08098384540589,0.98437780603062,3.17786108988974
2,1,1,15,12,6,2.18084601841832,1.24999421542832,3.11172255891471
2,1,1,15,12,7,2.83954065346186,1.65494739850822,4.02451927897658
2,1,1,15,12,8,2.85913152452896,2.17944148631666,3.54024639718271
2,1,1,15,12,9,1.93593523255741,1.1463774385611,2.72577010595303
2,1,1,15,12,10,1.83552018348684,0.699400787933639,2.97307142963797
3,1,1,15,12,1,3.04857743508798,1.63165768912441,4.46586060442566
3,1,1,15,12,2,1.93069334548579,0.805470129410647,3.05604901046947
3,1,1,15,12,3,2.78768359495588,2.05017566165311,3.52546585609629
3,1,1,15,12,4,2.47423517201772,1.35116713701757,3.59768456337784
3,1,1,15,12,5,3.10434097839105,2.13674542681371,4.0720618169719
3,1,1,15,12,6,2.80748352989427,2.00368725265955,3.61158252597479
3,1,1,15,12,7,3.00893896836172,2.00114025844237,4.01708755372637
3,1,1,15,12,8,3.0669581033581,2.20472332129304,3.9293841069688
3,1,1,15,12,9,4.6236788306006,2.94411617566547,6.31024820174654
3,1,1,15,12,10,2.3544091089392,1.19324037351521,3.51587632444067
1,10,1,10,18,1,4.85809593824984,0.516740941860217,9.20349067588645
1,10,1,10,18,2,1.26884731779802,-3.24743380953155,5.78855433440773
1,10,1,10,18,3,-0.0247201483487682,-3.78485978253453,3.73778587958463
1,10,1,10,18,4,-3.61398071301823,-7.22047452854908,-0.00791331100082177
1,10,1,10,18,5,3.54211068649472,-0.824273616761867,8.24578005032218
1,10,1,10,18,6,0.294430013867507,-4.99315204364034,5.58225627868735
1,10,1,10,18,7,2.11364865640627,-0.770558677348925,4.99808783271201
1,10,1,10,18,8,-0.0349117858790596,-6.18617835871144,6.11895404475258
