"beta","gamma2","sigma2","n_clusters","R_per_cluster","ratio","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,15,12,"2:1",1,0.392213162737898,-0.364860568007341,1.14931769576791
1,1,1,15,12,"2:1",2,0.495711182368218,-0.488842422391147,1.48033332563346
1,1,1,15,12,"2:1",3,1.18246817436372,0.236257266954219,2.12872321769456
1,1,1,15,12,"2:1",4,0.802438916583316,-0.254290096081918,1.85938926447241
1,1,1,15,12,"2:1",5,1.41411820548131,0.581281085147067,2.24746922119865
1,1,1,15,12,"2:1",6,1.84296956688009,0.693987568770555,2.99234092408468
1,1,1,15,12,"2:1",7,1.14495074742519,0.379469628735607,1.91032430229894
1,1,1,15,12,"2:1",8,0.440120457104295,-0.663015339467709,1.54278912711842
1,1,1,15,12,"2:1",9,1.45623185832535,0.248697864577733,2.66372233502596
1,1,1,15,12,"2:1",10,0.818200787722687,0.0715157376419021,1.56491743610976
1,1,1,10,18,"2:1",1,0.862146870550799,-0.377193687806782,2.10166724936092
1,1,1,10,18,"2:1",2,0.810285459039866,-0.386636854511335,2.00743161382485
1,1,1,10,18,"2:1",3,-0.0165538237560412,-1.22666586446,1.19360853393094
1,1,1,10,18,"2:1",4,0.505237064961471,-0.56370522760537,1.5746288604744
1,1,1,10,18,"2:1",5,1.83404360880138,0.927132992278372,2.74111397959689
1,1,1,10,18,"2:1",6,2.36950659454978,1.13996838998489,3.59940594245116
1,1,1,10,18,"2:1",7,1.35990408904845,0.0787387899946682,2.64184693220756
1,1,1,10,18,"2:1",8,-0.0525735293724719,-1.05264235886143,0.947367796095302
1,1,1,10,18,"2:1",9,1.36617816330626,0.395931397909222,2.33776413986072
1,1,1,10,18,"2:1",10,1.81061164263736,0.433939301160544,3.18815463897684
1,1,1,5,38,"2:1",1,1.61111699922605,0.119937055707345,3.10307274260556
1,1,1,5,38,"2:1",2,0.456065446188737,-1.06924274537833,1.98123979713182
1,1,1,5,38,"2:1",3,1.88502332280113,-0.00117530660079962,3.77155815320882
1,1,1,5,38,"2:1",4,0.366300554901965,-0.81656136931478,1.54930520126607
1,1,1,5,38,"2:1",5,1.91818293551405,-0.0903296621789441,3.9272807172857
1,1,1,5,38,"2:1",6,0.359883120870425,-0.83931142931971,1.55893909192336
1,1,1,5,38,"2:1",7,2.28188675890524,0.196430348913891,4.36798573919666
1,1,1,5,38,"2:1",8,NA,NA,NA
1,1,1,5,38,"2:1",9,2.29922922760926,0.854654090861724,3.74405472242648
1,1,1,5,38,"2:1",10,0.178002935553882,-0.863840963606319,1.21999640091586
1,1,1,10,16,"50:1",1,0.628038454840007,-0.286800023883988,1.54308710832117
1,1,1,10,16,"50:1",2,1.69778225602493,0.298020955947409,3.09834574115804
1,1,1,10,16,"50:1",3,2.66865646131235,1.23707807864928,4.10149861819532
1,1,1,10,16,"50:1",4,0.525719704873741,-0.442024773334313,1.49348905759427
1,1,1,10,16,"50:1",5,1.00171053707909,0.209560319263483,1.79413800053087
1,1,1,10,16,"50:1",6,0.0528671459847642,-1.06265178327814,1.16855918256332
1,1,1,10,16,"50:1",7,1.20721890233994,-0.185689460592598,2.60057810599562
1,1,1,10,16,"50:1",8,1.4592136412605,0.600025234894536,2.31935190766961
1,1,1,10,16,"50:1",9,0.209502917574457,-1.11262900260669,1.53161451653748
1,1,1,10,16,"50:1",10,0.195946990447836,-1.32303138989957,1.71516641491801
1,1,1,5,36,"50:1",1,1.32973518956465,0.759625943234895,1.89977368718064
1,1,1,5,36,"50:1",2,1.08407975422987,-0.227371053476762,2.39584753351546
1,1,1,5,36,"50:1",3,1.76187759973159,-0.190339835575794,3.71507792133939
1,1,1,5,36,"50:1",4,0.299724290150184,-0.535794661625288,1.13539801895927
1,1,1,5,36,"50:1",5,0.964928545728558,-1.18122625286289,3.11110463375716
1,1,1,5,36,"50:1",6,1.15124468080715,0.0241550846626594,2.27856479764324
1,1,1,5,36,"50:1",7,0.73605612178573,-0.742552392778773,2.21485552962634
1,1,1,5,36,"50:1",8,0.877068053879687,-0.691278458462412,2.44559095010654
1,1,1,5,36,"50:1",9,0.354208529418229,-1.06846003170213,1.77692311742142
1,1,1,5,36,"50:1",10,2.39915969546083,1.09222029253416,3.70595925023346
1,1,1,10,10,"10:1",1,1.09464085556404,-0.264627978460418,2.4546537020731
1,1,1,10,10,"10:1",2,1.32571124739075,0.435421399227374,2.21639530952228
1,1,1,10,10,"10:1",3,0.391798878660051,-1.016083963429,1.79895872359358
1,1,1,10,10,"10:1",4,1.93136879688918,0.462759371689082,3.40024016929253
1,1,1,10,10,"10:1",5,2.081038788462,0.934132357527933,3.22895904924828
1,1,1,10,10,"10:1",6,-0.755130781390517,-2.19524315042323,0.684719507644821
1,1,1,10,10,"10:1",7,0.957747551455278,0.00702740380867042,1.9086456134167
1,1,1,10,10,"10:1",8,1.73933694177077,0.953835948394146,2.52591955668432
1,1,1,10,10,"10:1",9,0.979578161854792,-0.14969196289299,2.10845671824994
1,1,1,10,10,"10:1",10,1.97731373505579,0.698406583509215,3.25647665313889
1,1,1,5,30,"10:1",1,1.82024104805777,0.187931106439876,3.4528242551695
1,1,1,5,30,"10:1",2,2.25466756191073,0.925015095733339,3.58460097613527
1,1,1,5,30,"10:1",3,1.90281942552607,0.830439461590068,2.97585948203727
1,1,1,5,30,"10:1",4,1.30062908913432,0.0619886864035726,2.53962688614842
1,1,1,5,30,"10:1",5,0.299667878745517,-1.05876708720358,1.6585406286358
1,1,1,5,30,"10:1",6,NA,NA,NA
1,1,1,5,30,"10:1",7,0.876797924546142,-0.353694503523282,2.10731746145818
1,1,1,5,30,"10:1",8,-0.860552154905632,-2.09926405713941,0.378046324036031
1,1,1,5,30,"10:1",9,-0.0532060675860589,-0.541743852172162,0.435078645099367
1,1,1,5,30,"10:1",10,1.55563931575988,0.416783633735415,2.69471961026669
